iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,02/05/21,60122,183,182.714,2637,6,7.857,1544.427,4.701,4.694,67.74,0.154,0.202,1.29,,,,,,,,,,,,,,,,,,240000,240000,,,8000,0.62,0.62,,206,8.33,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
ALB,Europe,Albania,02/05/21,131238,53,100.143,2397,1,2.714,45603.586,18.417,34.798,832.928,0.347,0.943,0.73,,,,,,,,,2258,610865,212.268,0.785,2562,0.89,0.049,20.4,tests performed,494028,,,17125,13423,17.17,,,4664,54.63,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
DZA,Africa,Algeria,02/05/21,122522,211,228.571,3270,9,9,2794.05,4.812,5.212,74.571,0.205,0.205,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
AGO,Africa,Angola,02/05/21,26993,178,197.714,602,2,3.286,821.298,5.416,6.016,18.317,0.061,0.1,1.2,,,,,,,,,,,,,,,,,,456349,456349,,,16736,1.39,1.39,,509,,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
ATG,North America,Antigua and Barbuda,02/05/21,1232,0,0.714,32,0,0.143,12580.672,0,7.294,326.771,0,1.459,0.56,,,,,,,,,,,,,,,,,,29754,29754,,,250,30.38,30.38,,2553,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ARG,South America,Argentina,02/05/21,3005259,11394,20625,64252,156,372.571,66494.243,252.103,456.348,1421.637,3.452,8.244,0.99,,,,,,,,,31872,8563665,189.479,0.705,38492,0.852,0.307,3.3,tests performed,7997902,7025492,972410,26432,123279,17.7,15.54,2.15,2728,,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARM,Asia,Armenia,02/05/21,216863,267,510.714,4139,11,17.286,73184.568,90.104,172.35,1396.785,3.712,5.833,0.78,,,,,,,,,4284,979060,330.403,1.446,3937,1.329,0.15,6.7,tests performed,,,,,,,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
AUS,Oceania,Australia,02/05/21,29838,14,22.571,910,0,0,1170.123,0.549,0.885,35.686,0,0,1.09,,,,,,,,,50422,16796517,658.69,1.977,43943,1.723,0.001,1922.5,tests performed,2254074,,,19230,45714,8.84,,,1793,75.46,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUT,Europe,Austria,02/05/21,622110,1625,1875.857,10245,12,22.571,69074.214,180.427,208.28,1137.524,1.332,2.506,0.87,521,57.848,1279,142.01,,,,,426701,31263052,3471.204,47.378,275412,30.58,,,tests performed,3194219,2341905,852441,16265,48779,35.47,26,9.46,5416,77.31,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AZE,Asia,Azerbaijan,02/05/21,321380,1058,1196.286,4561,23,27.143,31696.859,104.348,117.986,449.839,2.268,2.677,0.74,,,,,,,,,11756,3229867,318.553,1.159,,,,,tests performed,1516923,975208,541715,11717,13375,14.96,9.62,5.34,1319,72.22,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
BHS,North America,Bahamas,02/05/21,10519,66,67,209,10,1.857,26749.024,167.833,170.376,531.471,25.429,4.723,1.37,,,,,,,,,,,,,,,,,,25692,25692,,,541,6.53,6.53,,1376,59.72,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHR,Asia,Bahrain,02/05/21,179297,1300,1132.429,651,3,3.857,105370.705,763.994,665.515,382.585,1.763,2.267,1.03,,,,,,,,,19055,4079066,2397.218,11.198,15901,9.345,0.069,14.6,units unclear,1264087,717024,547063,17848,11907,74.29,42.14,32.15,6998,56.48,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BGD,Asia,Bangladesh,02/05/21,761943,1359,2374.429,11579,69,75.143,4626.546,8.252,14.418,70.308,0.419,0.456,0.65,,,,,,,,,24928,5444255,33.058,0.151,23940,0.145,0.125,8,tests performed,8625350,5819656,2805694,107549,125527,5.24,3.53,1.7,762,88.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
BRB,North America,Barbados,02/05/21,3866,3,6,44,0,0,13452.993,10.439,20.879,153.112,0,0,0.95,,,,,,,,,,,,,,,,,,74608,74608,,390,269,25.96,25.96,,936,66.67,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
BLR,Europe,Belarus,02/05/21,361063,1081,1159,2562,10,9.857,38210.47,114.4,122.654,271.131,1.058,1.043,0.97,,,,,,,,,19354,5832409,617.23,2.048,15569,1.648,0.08,12.5,tests performed,328500,244000,84500,,15029,3.48,2.58,0.89,1590,19.44,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823
BEL,Europe,Belgium,02/05/21,995562,2128,3020.571,24291,33,38.143,85901.207,183.613,260.627,2095.928,2.847,3.291,0.92,886,76.448,2883,248.757,,,1609.328,138.859,52621,12474082,1076.315,4.54,45153,3.896,0.079,12.7,tests performed,3902903,3070545,835126,2776,57640,33.68,26.49,7.21,4973,60.19,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
BLZ,North America,Belize,02/05/21,12668,0,9.857,323,0,0.286,31859.484,0,24.79,812.331,0,0.719,1.11,,,,,,,,,,,,,,,,,,42100,42100,,1086,715,10.59,10.59,,1798,50.93,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
BEN,Africa,Benin,02/05/21,7821,0,14.429,99,0,0.286,645.127,0,1.19,8.166,0,0.024,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
